"N","A","B","C","D","E"
1,-0.02932,-5,25,4.51959428127302,"B"
2,-0.05,-4.9,24.01,3.94352152037433,"E"
3,0.71453,-4.8,23.04,4.8606579760106,"D"
4,-0.35986,-4.7,22.09,5.46230394918277,"D"
5,-0.06992,-4.6,21.16,4.31532838967598,"E"
6,0.21637,-4.5,20.25,5.11074142758291,"A"
7,0.24708,-4.4,19.36,2.62864694686632,"D"
8,4.23992,-4.3,18.49,5.43107108570681,"D"
9,0.4489,-4.2,17.64,4.15645658610346,"B"
10,1.64852,-4.1,16.81,5.03976614208575,"D"
11,0.04378,-4,16,0.620843605964695,"E"
12,0.13153,-3.9,15.21,4.51497006197832,"D"
13,0.08989,-3.8,14.44,5.34477824165368,"E"
14,-0.36344,-3.7,13.69,5.03909518910922,"E"
15,-0.50219,-3.6,12.96,4.07684497772119,"C"
16,-0.55712,-3.5,12.25,5.26578186509932,"C"
17,1.75738,-3.4,11.56,5.35434734873343,"D"
18,-1.16242,-3.3,10.89,4.68197753605029,"B"
19,-0.20163,-3.2,10.24,1.47780428576973,"B"
20,-0.06884,-3.1,9.61,5.40943529188029,"B"
21,0.81736,-3,9,4.73077774458995,"C"
22,1.82487,-2.9,8.41,5.09884039810812,"C"
23,0.73984,-2.8,7.84,5.39742479657291,"C"
24,1.4032,-2.7,7.29,5.46348721943492,"C"
25,2.3103,-2.6,6.76,5.42383473130095,"C"
26,2.58196,-2.5,6.25,5.38957623529273,"D"
27,0.12338,-2.4,5.76,0,"B"
28,0.01275,-2.3,5.29,1.05827538748918,"E"
29,-1.87866,-2.2,4.84,3.36305031817625,"E"
30,-0.5303,-2.1,4.41,5.2069118316833,"E"
31,-2.27193,-2,4,4.568539503653,"E"
32,0.51086,-1.9,3.61,4.2456474876875,"A"
33,0.17886,-1.8,3.24,5.42661314544528,"C"
34,-2.0744,-1.7,2.89,2.35067721025771,"D"
35,0.76406,-1.6,2.56,5.25200024862122,"E"
36,-1.7386,-1.5,2.25,5.08563547155514,"B"
37,-2.0621,-1.4,1.96,5.24289137457748,"E"
